start_utc,end_utc,start_berlin,end_berlin,price_eur_per_mwh,market,bidding_zone,source
2024-01-02 19:00:00+00:00,2024-01-02 20:00:00+00:00,2024-01-02 20:00:00+01:00,2024-01-02 21:00:00+01:00,57.11,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 20:00:00+00:00,2024-01-02 21:00:00+00:00,2024-01-02 21:00:00+01:00,2024-01-02 22:00:00+01:00,46.89,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 21:00:00+00:00,2024-01-02 22:00:00+00:00,2024-01-02 22:00:00+01:00,2024-01-02 23:00:00+01:00,40.0,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 22:00:00+00:00,2024-01-02 23:00:00+00:00,2024-01-02 23:00:00+01:00,2024-01-03 00:00:00+01:00,7.43,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-02 23:00:00+00:00,2024-01-03 00:00:00+00:00,2024-01-03 00:00:00+01:00,2024-01-03 01:00:00+01:00,-0.08,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 00:00:00+00:00,2024-01-03 01:00:00+00:00,2024-01-03 01:00:00+01:00,2024-01-03 02:00:00+01:00,-1.23,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 01:00:00+00:00,2024-01-03 02:00:00+00:00,2024-01-03 02:00:00+01:00,2024-01-03 03:00:00+01:00,-1.3,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 02:00:00+00:00,2024-01-03 03:00:00+00:00,2024-01-03 03:00:00+01:00,2024-01-03 04:00:00+01:00,-1.31,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 03:00:00+00:00,2024-01-03 04:00:00+00:00,2024-01-03 04:00:00+01:00,2024-01-03 05:00:00+01:00,-1.31,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 04:00:00+00:00,2024-01-03 05:00:00+00:00,2024-01-03 05:00:00+01:00,2024-01-03 06:00:00+01:00,-1.38,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 05:00:00+00:00,2024-01-03 06:00:00+00:00,2024-01-03 06:00:00+01:00,2024-01-03 07:00:00+01:00,1.09,Day-ahead auction,Germany/Luxembourg,SMARD
2024-01-03 06:00:00+00:00,2024-01-03 07:00:00+00:00,2024-01-03 07:00:00+01:00,2024-01-03 08:00:00+01:00,40.59,Day-ahead auction,Germany/Luxembourg,SMARD
