station_id,station_name,latitude,longitude,height_m_amsl
03032,List auf Sylt Schleswig-Holstein,55.011,8.4125,25.0
03034,"Lobenstein, Bad Thüringen",50.4505,11.635,496.0
03042,Löhnberg-Obershausen Hessen,50.5617,8.2386,230.0
03044,Löningen Niedersachsen,52.7198,7.7472,22.0
03083,Lübben-Blumenfelde Brandenburg,51.9267,13.8797,57.0
03086,Lübeck-Blankensee Schleswig-Holstein,53.8025,10.6989,15.0
03093,Lüchow Niedersachsen,52.9724,11.1374,16.0
03098,Lüdenscheid Nordrhein-Westfalen,51.2452,7.6425,387.0
03126,Magdeburg Sachsen-Anhalt,52.1029,11.5827,79.0
03137,Mainz-Lerchenberg (ZDF) Rheinland-Pfalz,49.9658,8.2049,199.0
03147,Mallersdorf-Pfaffenberg-Oberlindhart Bayern,48.7548,12.2118,390.0
03155,Manderscheid-Sonnenhof Rheinland-Pfalz,50.1015,6.8009,415.0
03158,Manschnow Brandenburg,52.5468,14.5453,12.0
03164,"Cölbe, Kr. Marburg-Biedenkopf Hessen",50.8492,8.7745,187.0
03166,Marienberg Sachsen,50.6511,13.1469,639.0
03167,"Marienberg, Bad Rheinland-Pfalz",50.6621,7.9603,547.0
03181,Markt Erlbach-Hagenhofen Bayern,49.4875,10.6277,360.0
03196,Marnitz Mecklenburg-Vorpommern,53.3221,11.9324,81.0
03204,Martinroda Thüringen,50.7335,10.8815,429.0
03226,Aschersleben-Mehringen Sachsen-Anhalt,51.7259,11.511,108.0
03231,Meiningen Thüringen,50.5611,10.3771,450.0
03234,Klipphausen-Garsebach Sachsen,51.1294,13.4328,158.0
03244,Memmingen Bayern,47.9821,10.1384,614.0
03257,"Mergentheim, Bad Baden-Württemberg",49.4797,9.7832,278.0
03268,Meßstetten-Appental Baden-Württemberg,48.1694,8.9433,900.0
03271,Metten Bayern,48.8548,12.9189,314.0
03278,Metzingen Baden-Württemberg,48.5377,9.2734,354.0
03284,Michelstadt Hessen,49.6692,9.0085,240.0
03287,Michelstadt-Vielbrunn Hessen,49.7177,9.0997,453.0
03289,Schmieritz-Weltwitz Thüringen,50.7281,11.7838,356.0
03307,Mittenwald-Buckelwiesen Bayern,47.4814,11.2649,983.0
03319,Röllbach Bayern,49.7644,9.253,239.0
03321,Mönchengladbach-Hilderath Nordrhein-Westfalen,51.1313,6.3608,76.0
03340,Montabaur Rheinland-Pfalz,50.4383,7.8061,265.0
03348,Moringen-Lutterbeck Niedersachsen,51.7209,9.8351,241.0
03362,Mühlacker Baden-Württemberg,48.9721,8.8735,243.0
03366,Mühldorf Bayern,48.279,12.5024,406.0
03376,Müncheberg Brandenburg,52.5176,14.1232,64.0
03379,München-Stadt Bayern,48.1632,11.5429,515.0
03402,Münsingen-Apfelstetten Baden-Württemberg,48.3851,9.4837,755.0
03426,"Muskau, Bad Sachsen",51.566,14.7008,127.0
03442,"Nauheim, Bad Hessen",50.3574,8.7506,149.0
03478,Neubrandenburg Mecklenburg-Vorpommern,53.5468,13.1914,81.0
03485,Neuburg/Kammel-Langenhaslach Bayern,48.3114,10.3773,487.0
03490,"Neuenahr, Bad-Ahrweiler Rheinland-Pfalz",50.5346,7.0853,111.0
03509,Stechlin-Menz Brandenburg,53.102,13.0421,78.0
03513,Neuhaus am Rennweg Thüringen,50.5003,11.1345,845.0
03527,Neukirchen-Hauptschwenda Hessen,50.8923,9.405,500.0
03540,Neunkirchen-Seelscheid-Krawinkel Nordrhein-Westfalen,50.8446,7.372,195.0
03545,Neunkirchen-Wellesweiler Saarland,49.344,7.2297,236.0
03552,Neuruppin Brandenburg,52.9037,12.8071,38.0
03571,Neustadt am Kulm-Filchendorf Bayern,49.8174,11.8638,452.0
03591,Nideggen-Schmidt Nordrhein-Westfalen,50.6743,6.424,350.0
03612,Nienburg Niedersachsen,52.6711,9.2229,25.0
03621,Reimlingen Bayern,48.8253,10.5066,436.0
03631,Norderney Niedersachsen,53.7123,7.1519,12.0
03660,Nürburg-Barweiler Rheinland-Pfalz,50.3602,6.8697,485.0
03667,Nürnberg-Netzstall Bayern,49.4258,11.2539,369.0
03668,Nürnberg Bayern,49.503,11.0549,314.0
03679,Kiefersfelden-Gach Bayern,47.6187,12.1665,518.0
03702,Münstertal-Obermünstertal,47.878,7.8288,515.0
03730,Oberstdorf Bayern,47.3984,10.2759,806.0
03734,Obersulm-Willsbach Baden-Württemberg,49.128,9.3525,232.0
03739,Oberviechtach Bayern,49.4521,12.4365,596.0
03761,Öhringen Baden-Württemberg,49.207,9.5176,276.0
03791,Oldenburg Niedersachsen,53.1763,8.1824,11.0
03811,Oschatz Sachsen,51.296,13.0928,151.0
03815,Osnabrück Niedersachsen,52.2553,8.0534,95.0
03821,Osterfeld Sachsen-Anhalt,51.0872,11.9293,244.0
03836,Ostheim v.d. Rhön Bayern,50.4538,10.2211,314.0
03857,Oy-Mittelberg-Petersthal Bayern,47.6362,10.3892,886.0
03875,Parsberg/Oberpfalz-Eglwang Bayern,49.151,11.6897,549.0
03897,Pelzerhaken Schleswig-Holstein,54.0893,10.8773,2.0
03904,Perl-Nennig Saarland,49.5354,6.3789,152.0
03925,Pforzheim-Ispringen Baden-Württemberg,48.9329,8.6973,332.0
03927,Pfullendorf Baden-Württemberg,47.9345,9.2869,630.0
03939,Pirmasens Rheinland-Pfalz,49.1912,7.5879,382.0
03946,Plauen Sachsen,50.4818,12.13,387.0
03975,Pommelsbrunn-Mittelburg Bayern,49.4777,11.5357,522.0
03987,Potsdam Brandenburg,52.3812,13.0622,81.0
04024,Putbus Mecklenburg-Vorpommern,54.3643,13.4771,40.0
04032,Quedlinburg Sachsen-Anhalt,51.7953,11.132,142.0
04036,Querfurt-Mühle Lodersleben Sachsen-Anhalt,51.3895,11.5412,206.0
04039,Quickborn Schleswig-Holstein,53.7331,9.8776,11.0
04063,Rahden-Kleinendorf Nordrhein-Westfalen,52.4461,8.5906,41.0
04094,"Weingarten, Kr. Ravensburg Baden-Württemberg",47.8062,9.6206,441.0
04104,Regensburg Bayern,49.0425,12.1019,365.0
04127,Reichshof-Eckenhagen Nordrhein-Westfalen,50.9906,7.6958,347.0
04154,Remscheid-Lennep Nordrhein-Westfalen,51.18,7.2505,345.0
04160,Renningen-Ihinger Hof Baden-Württemberg,48.7425,8.924,478.0
04169,Rheinau-Memprechtshofen Baden-Württemberg,48.6703,7.9939,131.0
04175,Rheinfelden Baden-Württemberg,47.559,7.7721,283.0
04177,Rheinstetten Baden-Württemberg,48.9726,8.3301,116.0
04189,"Altheim, Kreis Biberach Baden-Württemberg",48.1479,9.4596,534.0
04261,Rosenheim Bayern,47.8819,12.1249,444.0
04271,Rostock-Warnemünde Mecklenburg-Vorpommern,54.1803,12.0808,5.0
04275,Rotenburg (Wümme) Niedersachsen,53.1289,9.3398,32.0
04280,Roth Bayern,49.2162,11.1035,386.0
04287,Rothenburg ob der Tauber Bayern,49.3849,10.1732,415.0
04300,Rottweil Baden-Württemberg,48.1815,8.6356,589.0
04301,"Kreuznach, Bad Rheinland-Pfalz",49.8502,7.871,102.0
04323,Ruppertsecken Rheinland-Pfalz,49.6468,7.8837,461.0
04336,Saarbrücken-Ensheim Saarland,49.2128,7.1077,319.0
04347,"Sachsa, Bad Niedersachsen",51.5909,10.5691,293.0
04349,Sachsenheim Baden-Württemberg,48.9569,9.0711,251.0
04350,"Säckingen, Bad (Bergseestr.)",47.5619,7.9399,339.0
04354,Saldenburg-Entschenreuth Bayern,48.7832,13.3146,457.0
04371,"Salzuflen, Bad Nordrhein-Westfalen",52.1042,8.7521,135.0
04377,Sandberg Bayern,50.3518,10.0034,518.0
04393,Sankt Peter-Ording Schleswig-Holstein,54.3279,8.6031,5.0
04411,Schaafheim-Schlierbach Hessen,49.9195,8.9672,155.0
04445,Wernigerode-Schierke Sachsen-Anhalt,51.7659,10.6533,614.0
04464,Schleiz Thüringen,50.5679,11.8041,501.0
04466,Schleswig Schleswig-Holstein,54.5275,9.5487,43.0
04477,Schluchsee Baden-Württemberg,47.8208,8.186,993.0
04480,Schlüchtern-Herolz Hessen,50.3447,9.5533,232.0
04485,"Schmalkalden, Kurort Thüringen",50.725,10.4539,296.0
04501,Schmücke Thüringen,50.6545,10.7696,938.0
04508,Schneifelforsthaus Rheinland-Pfalz,50.2968,6.4194,653.0
04517,"Schömberg, Kr. Calw Baden-Württemberg",48.7859,8.6451,635.0
04548,Schönwald/Ofr.-Brunn Bayern,50.1847,12.0791,608.0
04559,Schorndorf-Knöbling Bayern,49.1644,12.6175,398.0
04560,Schotten Hessen,50.4925,9.1226,265.0
04592,Schwandorf Bayern,49.3278,12.0871,356.0
04605,Schwarzburg Thüringen,50.6441,11.1936,277.0
04625,Schwerin Mecklenburg-Vorpommern,53.6424,11.3871,59.0
04642,Seehausen Sachsen-Anhalt,52.8911,11.7297,22.0
04651,Seesen Niedersachsen,51.904,10.1885,189.0
